חותמת זמן,Discrete mathematics:,Linear Algebra 1,Linear Algebra 2,Infinitesimal Calculus 1,Infinitesimal Calculus 2,Probability and Introduction to Statistics,Introduction to Computer Science and the Java Language,Data Structure and Introduction to Algorithms,Algorithms,Systems Programming Laboratory,Computational models,Computer organization,Logic for Computer Science,Operating systems,Introduction to computational and complexity theory,שפות תכנות,מה לדעתך חלון הזמן האידיאלי בין 2 מבחנים ממוצעים וזהים מבחינת דרישת הזמן ללמידה?,האם יש לך העדפות לגשת לבחינה בימים/זמנים מסוימים? אם כן מהם?
09/12/2024 17:23:46,2.5,,,,,2.5,3,2,3,1,,2.5,2.5,,,,,
09/12/2024 17:26:41,2,3,3,3,3,,2,3,3,1,,2.5,,,,,שבוע וחצי,לגשת במועד השני
09/12/2024 17:56:52,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,,
09/12/2024 17:58:29,2,3,2,3,3,3,2,,3,2.5,2.5,,2,,,,,
09/12/2024 18:00:40,1,3,3,,,,,,,,,2,,,,,,
09/12/2024 18:01:42,2.5,2,2,2.5,3,2.5,2.5,2,3,1,,2.5,1,2,,,3-5 ימים,
09/12/2024 18:01:51,2.5,,,,,,,,,,,,,,,,,
09/12/2024 18:05:33,2.5,2.5,2.5,2.5,2,2.5,,1,,,,,1,,,,,
09/12/2024 18:09:22,,,,3,3,3,2,,,3,,,,,,,"אם הכוונה בלגשת למועד ב במבחן עדיף לגשת למועד הכי קרוב למועד א שניתן, כך שהחומר עדיין זמין בראש. אם הכוונה היא לשני מבחנים בשני קורסים שונים הייתי לוקח מועד רחוקים בהפרש של שבועיים לפחות בין שני המבחנים כדי שיהיה זמן ללמוד למבחן השני עם ראש פנוי מהמבחן הראשון",
09/12/2024 18:09:30,2.5,3,3,3,3,2,3,2,3,1,2.5,2.5,2.5,2,2.5,2.5,,
09/12/2024 18:10:55,2.5,1,2.5,2,2,1,2.5,2.5,3,1,2.5,1,1,2.5,2.5,2.5,שבועיים,כן. לא בתחילת שבוע וזה נחמד כשזה בסוף שבוע- כשאין שבת באמצע ואז לומדים כל השבוע (אני לא לומדת בשבת)
09/12/2024 18:12:23,,3,,3,,,3,,,,,,,,,,,
09/12/2024 18:12:46,,,,,,,,,,,,,,,,,,
09/12/2024 18:17:27,2,,,,,,,,,,,,,,,,,
09/12/2024 18:23:38,2.5,2,2,3,3,,2,2.5,,2.5,,,,,,,שבועיים-שלוש,אין העדפה
09/12/2024 18:24:39,2.5,,,2,,,2,2,,1,,2.5,,,,,שבוע וחצי,
09/12/2024 18:25:59,2.5,2,2,3,3,1,2,2,3,2.5,1,1,1,2.5,1,2.5," תלוי, אבל שבוע",
09/12/2024 18:27:28,2.5,3,3,3,3,,2,2,,2.5,,2,,,,,,
09/12/2024 18:27:40,,,,,,,2.5,,,,,,,,,,,
09/12/2024 18:27:56,,,,,,,,,,,,,,,,,,
09/12/2024 18:28:04,2.5,,,,,2.5,,2,,2.5,,2.5,1,,,,,
09/12/2024 18:34:46,2,,,,,,,,,,,,,,,,,
09/12/2024 18:36:00,2.5,3,2,2,3,2,3,3,3,,3,2.5,1,,,,,
09/12/2024 18:39:12,2,,,3,3,,3,,,,,,,,,2,,
09/12/2024 18:42:17,,,,,,,,,,,,,,,,,,
09/12/2024 18:45:10,,3,3,2,2,3,3,3,2,3,3,1,1,3,3,3,,
09/12/2024 18:45:43,1,2.5,2,2.5,3,1,3,2,3,2.5,,2.5,2.5,2,,,,
09/12/2024 18:46:14,2.5,3,3,3,3,3,2,2,3,2.5,,,,,,,,
09/12/2024 18:49:09,2,,,3,,,3,,,,,,,,,,,
09/12/2024 18:53:18,3,3,3,3,3,3,3,3,3,3,,,,,,,,
09/12/2024 19:00:03,2.5,2,2,2,2,,,,,,,,,,,,,
09/12/2024 19:04:53,,,,,,,,,,,,,,,,,,
09/12/2024 19:24:42,1,2,3,3,3,3,3,2,3,2.5,2,2,2.5,2,3,3,,
09/12/2024 19:28:34,2.5,2,3,3,3,2.5,2,2,,2.5,,2,2.5,,,,,
09/12/2024 19:51:46,2,3,3,3,3,,3,3,3,2.5,,2,3,,,,לפחות שבוע - שבוע וחצי,
09/12/2024 20:10:31,,,,,,,,,,,,,,,,,,
09/12/2024 20:18:20,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,לפחות שבועיים,"אחר הצהריים, למשל 16:30 זה מושלם"
09/12/2024 20:35:47,2.5,2,2,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2,2.5,2,3,2.5,"לפחות שבועיים, עדיף שלושה",
09/12/2024 20:51:43,2.5,,,,,2.5,3,,,1,,2.5,,,,,שלושה ימים,ימי חמישי ולא בתקופה של חגים 
09/12/2024 20:54:24,2.5,2.5,2,2.5,,2.5,2,2.5,,1,,,,,,,,
09/12/2024 21:20:40,,,,,,,2,,,,,,,,,,,
09/12/2024 21:28:07,2.5,,,,,2.5,3,,,1,,2,,,,,,
09/12/2024 23:10:25,2.5,3,3,3,3,,,,,,,,1,,,,שבועיים,
09/12/2024 23:27:15,2,2,,,,,2,,,,,,,,,,לפחות שבועיים וחצי,אין העדפה
09/12/2024 23:33:43,2.5,,,,,2.5,3,3,,2.5,,2,,,,,,
09/12/2024 23:38:46,2.5,2,2,2,2,1,2,2.5,3,2.5,3,2,1,2,2,2.5,,
10/12/2024 09:34:29,,,,,,,,,,,,,,,,,,
10/12/2024 10:16:17,,3,,2,,2.5,2.5,,,,,,,,,,,
10/12/2024 13:11:32,2.5,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,,
10/12/2024 13:37:22,,,,,,,,,,,,,,,,,,
10/12/2024 14:03:55,1,2.5,2,1,2.5,1,1,1,2.5,1,1,1,1,1,2.5,1,"כל חלון זמן שקטן מזמן הלמידה הנדרש יחייב עומס כפול לפני המבחן הראשון. אידיאלית שבועיים+ בין מבחנים. 
ריאלית, כל עוד יש יותר מ-48 שעות, אני לא מתלונן. ",מעדיף בבקרים בתחילת שבוע. 
10/12/2024 14:24:58,2.5,2,3,2,3,2,2,2,2,2.5,2,2.5,2,,,,,
10/12/2024 16:41:31,2,3,,3,,,3,,,,,,,,,,,
10/12/2024 16:48:08,,,,,,,,,,,,,,,,,,
10/12/2024 18:17:27,1,2,2,2.5,2.5,3,1,,,1,,,,,,,שבוע ,עדיף בבוקר מה שלרוב לא קורה בפתוחה
10/12/2024 18:40:41,,2.5,,,,,,,,,,,,,,,שבועיים,
10/12/2024 20:44:11,2.5,,,3,3,,2,,,,,,,,,,שבועיים,
10/12/2024 23:42:19,2.5,,,,,,2,,,1,,2.5,,,,,,
11/12/2024 21:36:26,,,,,,,,,,,,,,,,,,
12/12/2024 17:22:33,,,,,,,,,,,,,,,,,,
13/12/2024 08:17:20,2.5,2,2,3,3,2.5,3,3,3,2.5,2,2.5,2.5,2,,,,
14/12/2024 09:37:12,,,,,,,,,,,,,,,,,,
19/12/2024 10:37:42,3,,,3,3,3,3,,,,,,,,,,חודש,אין העדפה